sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"So she was given three large needles, a plough-wheel, and three nuts, which she was to take great care of. ",given,BEFORE,"She set out with these things, and when she came to the glass mountain which was so slippery she stuck the three needles behind her feet and then in front, and so got over it, and when she was on the other side put them carefully away. ",came,74,75,1,1
"She set out with these things, and when she came to the glass mountain which was so slippery she stuck the three needles behind her feet and then in front, and so got over it, and when she was on the other side put them carefully away. ",came,BEFORE,"Then she reached the three cutting swords, and got on her plough-wheel and rolled over them. ",got,75,76,1,2
"Then she reached the three cutting swords, and got on her plough-wheel and rolled over them. ",got,BEFORE,"At last she came to a great lake, and, when she had crossed that, arrived at a beautiful castle. ",came,76,77,2,0
"At last she came to a great lake, and, when she had crossed that, arrived at a beautiful castle. ",came,BEFORE,"She went in and gave herself out as a servant, a poor maid who would gladly be engaged. ",gave,77,78,0,1
"She went in and gave herself out as a servant, a poor maid who would gladly be engaged. ",gave,AFTER,But she knew that the Prince whom she had freed from the iron stove in the great wood was in the castle. ,freed,78,79,1,2
But she knew that the Prince whom she had freed from the iron stove in the great wood was in the castle. ,freed,BEFORE,"Now the Prince was about to marry another princess, for he thought she was dead long ago. ",marry,79,81,2,1
"Now the Prince was about to marry another princess, for he thought she was dead long ago. ",marry,AFTER,"In the evening, when she had washed up and was ready, she felt in her pocket and found the three nuts which the old toad had given her. ",given,81,82,1,6
"In the evening, when she had washed up and was ready, she felt in her pocket and found the three nuts which the old toad had given her. ",given,BEFORE,"She cracked one and was going to eat the kernel, when behold! ",cracked,82,83,6,0
"She cracked one and was going to eat the kernel, when behold! ",cracked,BEFORE,"When the bride heard of this, she came and begged for the dress, and wanted to buy it, saying that it was not a dress for a serving-maid. ",wanted,83,85,0,3
"When the bride heard of this, she came and begged for the dress, and wanted to buy it, saying that it was not a dress for a serving-maid. ",wanted,BEFORE,"Then she said she would not sell it unless she was granted one favour-namely, to sleep by the Prince's door. ",sleep,85,86,3,5
"Then she said she would not sell it unless she was granted one favour-namely, to sleep by the Prince's door. ",sleep,BEFORE,"The bride granted her this, because the dress was so beautiful and she had so few like it. ",granted,86,87,5,0
"The bride granted her this, because the dress was so beautiful and she had so few like it. ",granted,BEFORE,"When it was evening she said to her bridegroom, 'That stupid maid wants to sleep by your door.' ",wants,87,88,0,2
"When it was evening she said to her bridegroom, 'That stupid maid wants to sleep by your door.' ",wants,BEFORE,"'If you are contented, I am,' he said. ",said,88,89,2,3
"'If you are contented, I am,' he said. ",said,BEFORE,But she gave him a glass of wine in which she had poured a sleeping-draught. ,gave,89,90,3,0
But she gave him a glass of wine in which she had poured a sleeping-draught. ,gave,BEFORE,"Then they both went to his room, but he slept so soundly that she could not wake him. ",slept,90,91,0,1
"Then they both went to his room, but he slept so soundly that she could not wake him. ",slept,BEFORE,"The maid wept all night long, and said, 'I freed you in the wild wood out of the iron stove; ",freed,91,92,1,2
"The maid wept all night long, and said, 'I freed you in the wild wood out of the iron stove; ",freed,AFTER," I have sought you, and have crossed a glassy mountain, three sharp swords, and a great lake before I found you, and will you not hear me now?' ",crossed,92,93,2,3
" I have sought you, and have crossed a glassy mountain, three sharp swords, and a great lake before I found you, and will you not hear me now?' ",crossed,BEFORE,"The servants outside heard how she cried the whole night, and they told their master in the morning. ",told,93,94,3,2
"The servants outside heard how she cried the whole night, and they told their master in the morning. ",told,BEFORE,"When she had washed up the next evening she bit the second nut, and there was a still more beautiful dress inside. ",bit,94,95,2,2
"When she had washed up the next evening she bit the second nut, and there was a still more beautiful dress inside. ",bit,BEFORE,When the bride saw it she wanted to buy it also. ,wanted,95,96,2,1
When the bride saw it she wanted to buy it also. ,wanted,BEFORE,"But the maid did not want money, and asked that she should sleep again by the Prince's door. ",want,96,97,1,1
"But the maid did not want money, and asked that she should sleep again by the Prince's door. ",want,BEFORE,"The bride, however, gave him a sleeping-draught, and he slept so soundly that he heard nothing. ",gave,97,98,1,0
"The bride, however, gave him a sleeping-draught, and he slept so soundly that he heard nothing. ",gave,BEFORE,"But the kitchen-maid wept the whole night long, and said, 'I have freed you in a wood and from an iron stove; ",freed,98,99,0,3
"But the kitchen-maid wept the whole night long, and said, 'I have freed you in a wood and from an iron stove; ",freed,BEFORE," I sought you and have crossed a glassy mountain, three sharp swords, and a great lake to find you, and now you will not hear me!' ",crossed,99,100,3,2
" I sought you and have crossed a glassy mountain, three sharp swords, and a great lake to find you, and now you will not hear me!' ",crossed,BEFORE,"The servants outside heard how she cried the whole night, and in the morning they told their master. ",told,100,101,2,2
"The servants outside heard how she cried the whole night, and in the morning they told their master. ",told,BEFORE,"And when she had washed up on the third night she bit the third nut, and there was a still more beautiful dress inside that was made of pure gold. ",bit,101,102,2,2
"And when she had washed up on the third night she bit the third nut, and there was a still more beautiful dress inside that was made of pure gold. ",bit,BEFORE,"When the bride saw it she wanted to have it, but the maid would only give it her on condition that she should sleep for the third time by the Prince's door. ",wanted,102,103,2,1
"When the bride saw it she wanted to have it, but the maid would only give it her on condition that she should sleep for the third time by the Prince's door. ",wanted,BEFORE,But the Prince took care not to drink the sleeping-draught. ,drink,103,104,1,1
But the Prince took care not to drink the sleeping-draught. ,drink,AFTER,"When she began to weep and to say, 'Dearest sweetheart, I freed you in the horrible wild wood, and from an iron stove,' he jumped up and said, 'You are right. ",freed,104,105,1,3
"When she began to weep and to say, 'Dearest sweetheart, I freed you in the horrible wild wood, and from an iron stove,' he jumped up and said, 'You are right. ",freed,BEFORE,"Though it was still night, he got into a carriage with her, and they took the false bride's clothes away, so that she could not follow them. ",took,105,107,3,2
"Though it was still night, he got into a carriage with her, and they took the false bride's clothes away, so that she could not follow them. ",took,BEFORE,"The toads were all freed, and were beautiful King's children, running about for joy. ",running,107,110,2,3
"The toads were all freed, and were beautiful King's children, running about for joy. ",running,AFTER,"But because the old man did not like being left alone, they went and fetched him. ",like,110,112,3,1
