sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"WHEN she reached the top of the hill, she saw a wood in the distance. ",reached,BEFORE,"WHEN she reached the top of the hill, she saw a wood in the distance. ",saw,14,14,0,1
"WHEN she reached the top of the hill, she saw a wood in the distance. ",saw,BEFORE,She thought that it looked a safe quiet spot. ,thought,14,15,1,0
She thought that it looked a safe quiet spot. ,thought,AFTER,"She ran downhill a few yards flapping her shawl, and then she jumped off into the air. ",ran,15,17,0,0
"She ran downhill a few yards flapping her shawl, and then she jumped off into the air. ",ran,BEFORE,"She ran downhill a few yards flapping her shawl, and then she jumped off into the air. ",flapping,17,17,0,1
"She ran downhill a few yards flapping her shawl, and then she jumped off into the air. ",flapping,BEFORE,"She ran downhill a few yards flapping her shawl, and then she jumped off into the air. ",jumped,17,17,1,2
"She ran downhill a few yards flapping her shawl, and then she jumped off into the air. ",jumped,AFTER,SHE flew beautifully when she had got a good start. ,flew,17,18,2,0
SHE flew beautifully when she had got a good start. ,flew,BEFORE,"She skimmed along over the tree-tops until she saw an open place in the middle of the wood, where the trees and brushwood had been cleared. ",skimmed,18,19,0,0
"She skimmed along over the tree-tops until she saw an open place in the middle of the wood, where the trees and brushwood had been cleared. ",skimmed,BEFORE,"She skimmed along over the tree-tops until she saw an open place in the middle of the wood, where the trees and brushwood had been cleared. ",saw,19,19,0,1
"She skimmed along over the tree-tops until she saw an open place in the middle of the wood, where the trees and brushwood had been cleared. ",saw,BEFORE,"JEMIMA alighted rather heavily, and began to waddle about in search of a convenient dry nesting-place. ",alighted,19,20,1,0
"JEMIMA alighted rather heavily, and began to waddle about in search of a convenient dry nesting-place. ",alighted,BEFORE,She rather fancied a tree-stump amongst some tall fox-gloves. ,fancied,20,21,0,0
She rather fancied a tree-stump amongst some tall fox-gloves. ,fancied,BEFORE,"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper. ",seated,21,22,0,0
"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper. ",seated,BEFORE,"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper. ",find,22,22,0,2
"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper. ",find,AFTER,"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper. ",reading,22,22,2,3
"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper. ",reading,BEFORE,He had black prick ears and sandy coloured whiskers. ,had,22,23,3,0
He had black prick ears and sandy coloured whiskers. ,had,BEFORE,"said Jemima Puddle-duck, with her head and her bonnet on one side--""Quack?"" ",said,23,25,0,0
"said Jemima Puddle-duck, with her head and her bonnet on one side--""Quack?"" ",said,BEFORE,"THE gentleman raised his eyes above his newspaper and looked curiously at Jemima-- ""Madam, have you lost your way?"" ",raised,25,26,0,0
"THE gentleman raised his eyes above his newspaper and looked curiously at Jemima-- ""Madam, have you lost your way?"" ",raised,BEFORE,"THE gentleman raised his eyes above his newspaper and looked curiously at Jemima-- ""Madam, have you lost your way?"" ",looked,26,26,0,1
"THE gentleman raised his eyes above his newspaper and looked curiously at Jemima-- ""Madam, have you lost your way?"" ",looked,AFTER,"THE gentleman raised his eyes above his newspaper and looked curiously at Jemima-- ""Madam, have you lost your way?"" ",lost,26,26,1,3
"THE gentleman raised his eyes above his newspaper and looked curiously at Jemima-- ""Madam, have you lost your way?"" ",lost,BEFORE,said he. ,said,26,27,3,0
said he. ,said,AFTER,"He had a long bushy tail which he was sitting upon, as the stump was somewhat damp. ",sitting,27,28,0,2
"He had a long bushy tail which he was sitting upon, as the stump was somewhat damp. ",sitting,BEFORE,Jemima thought him mighty civil and handsome. ,thought,28,29,2,0
Jemima thought him mighty civil and handsome. ,thought,BEFORE,"She explained that she had not lost her way, but that she was trying to find a convenient dry nesting-place. ",explained,29,30,0,0
"She explained that she had not lost her way, but that she was trying to find a convenient dry nesting-place. ",explained,AFTER,"She explained that she had not lost her way, but that she was trying to find a convenient dry nesting-place. ",lost,30,30,0,2
"She explained that she had not lost her way, but that she was trying to find a convenient dry nesting-place. ",lost,BEFORE,"She explained that she had not lost her way, but that she was trying to find a convenient dry nesting-place. ",trying,30,30,2,4
"She explained that she had not lost her way, but that she was trying to find a convenient dry nesting-place. ",trying,BEFORE,"She explained that she had not lost her way, but that she was trying to find a convenient dry nesting-place. ",find,30,30,4,5
"She explained that she had not lost her way, but that she was trying to find a convenient dry nesting-place. ",find,BEFORE,"said the gentleman with sandy whiskers, looking curiously at Jemima. ",looking,30,34,5,1
"said the gentleman with sandy whiskers, looking curiously at Jemima. ",looking,BEFORE,"He folded up the newspaper, and put it in his coat-tail pocket. ",put,34,35,1,1
"He folded up the newspaper, and put it in his coat-tail pocket. ",put,BEFORE,Jemima complained of the superfluous hen. ,complained,35,36,1,0
Jemima complained of the superfluous hen. ,complained,BEFORE,I wish I could meet with that fowl. ,wish,36,39,0,0
I wish I could meet with that fowl. ,wish,BEFORE,I wish I could meet with that fowl. ,meet,39,39,0,2
I wish I could meet with that fowl. ,meet,BEFORE,"I would teach it to mind its own business!"" ",teach,39,40,2,1
"I would teach it to mind its own business!"" ",teach,AFTER,"""BUT as to a nest--there is no difficulty: I have a sackful of feathers in my wood-shed. ",have,40,41,1,1
"""BUT as to a nest--there is no difficulty: I have a sackful of feathers in my wood-shed. ",have,BEFORE,"You may sit there as long as you like,"" said the bushy long-tailed gentleman. ",sit,41,43,1,1
"You may sit there as long as you like,"" said the bushy long-tailed gentleman. ",sit,BEFORE,"You may sit there as long as you like,"" said the bushy long-tailed gentleman. ",like,43,43,1,2
"You may sit there as long as you like,"" said the bushy long-tailed gentleman. ",like,BEFORE,"You may sit there as long as you like,"" said the bushy long-tailed gentleman. ",said,43,43,2,3
"You may sit there as long as you like,"" said the bushy long-tailed gentleman. ",said,AFTER,"He led the way to a very retired, dismal-looking house amongst the fox-gloves. ",led,43,44,3,0
"He led the way to a very retired, dismal-looking house amongst the fox-gloves. ",led,BEFORE," you would not find my earth--my winter house--so convenient,"" said the hospitable gentleman. ",find,44,47,0,1
" you would not find my earth--my winter house--so convenient,"" said the hospitable gentleman. ",find,BEFORE," you would not find my earth--my winter house--so convenient,"" said the hospitable gentleman. ",said,47,47,1,2
" you would not find my earth--my winter house--so convenient,"" said the hospitable gentleman. ",said,BEFORE,"The gentleman opened the door, and showed Jemima in. ",opened,47,49,2,0
"The gentleman opened the door, and showed Jemima in. ",opened,BEFORE,"The gentleman opened the door, and showed Jemima in. ",showed,49,49,0,1
"The gentleman opened the door, and showed Jemima in. ",showed,BEFORE,Jemima Puddle-duck was rather surprised to find such a vast quantity of feathers. ,find,49,52,1,1
Jemima Puddle-duck was rather surprised to find such a vast quantity of feathers. ,find,BEFORE, and she made a nest without any trouble at all. ,made,52,54,1,0
 and she made a nest without any trouble at all. ,made,BEFORE,"WHEN she came out, the sandy whiskered gentleman was sitting on a log reading the newspaper--at least he had it spread out, but he was looking over the top of it. ",looking,54,55,0,8
"WHEN she came out, the sandy whiskered gentleman was sitting on a log reading the newspaper--at least he had it spread out, but he was looking over the top of it. ",looking,AFTER,"WHEN she came out, the sandy whiskered gentleman was sitting on a log reading the newspaper--at least he had it spread out, but he was looking over the top of it. ",sitting,55,55,8,3
"WHEN she came out, the sandy whiskered gentleman was sitting on a log reading the newspaper--at least he had it spread out, but he was looking over the top of it. ",sitting,BEFORE,"He was so polite, that he seemed almost sorry to let Jemima go home for the night. ",seemed,55,56,3,1
"He was so polite, that he seemed almost sorry to let Jemima go home for the night. ",seemed,BEFORE,"He was so polite, that he seemed almost sorry to let Jemima go home for the night. ",let,56,56,1,2
"He was so polite, that he seemed almost sorry to let Jemima go home for the night. ",let,BEFORE,He promised to take great care of her nest until she came back again next day. ,promised,56,57,2,0
He promised to take great care of her nest until she came back again next day. ,promised,BEFORE,He promised to take great care of her nest until she came back again next day. ,take,57,57,0,1
He promised to take great care of her nest until she came back again next day. ,take,BEFORE,He said he loved eggs and ducklings; ,said,57,58,1,0
He said he loved eggs and ducklings; ,said,AFTER,He said he loved eggs and ducklings; ,loved,58,58,0,1
He said he loved eggs and ducklings; ,loved,BEFORE, he should be proud to see a fine nestful in his wood-shed. ,see,58,59,1,2
 he should be proud to see a fine nestful in his wood-shed. ,see,AFTER,JEMIMA PUDDLE-DUCK came every afternoon; ,came,59,60,2,0
JEMIMA PUDDLE-DUCK came every afternoon; ,came,BEFORE, she laid nine eggs in the nest. ,laid,60,61,0,0
 she laid nine eggs in the nest. ,laid,BEFORE,The foxy gentleman admired them immensely. ,admired,61,63,0,0
The foxy gentleman admired them immensely. ,admired,BEFORE,He used to turn them over and count them when Jemima was not there. ,turn,63,64,0,1
He used to turn them over and count them when Jemima was not there. ,turn,BEFORE,He used to turn them over and count them when Jemima was not there. ,count,64,64,1,2
He used to turn them over and count them when Jemima was not there. ,count,BEFORE,"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",told,64,65,2,0
"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",told,AFTER,"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",intended,65,65,0,1
"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",intended,BEFORE,"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",begin,65,65,1,2
"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",begin,BEFORE,"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",sit,65,65,2,3
"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",sit,BEFORE,"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",bring,65,65,3,5
"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",bring,BEFORE,"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",leave,65,65,5,7
"At last Jemima told him that she intended to begin to sit next day--""and I will bring a bag of corn with me, so that I need never leave my nest until the eggs are hatched. ",leave,BEFORE,"They might catch cold,"" said the conscientious Jemima. ",said,65,66,7,2
"They might catch cold,"" said the conscientious Jemima. ",said,AFTER,"""MADAM, I beg you not to trouble yourself with a bag; ",beg,66,67,2,0
"""MADAM, I beg you not to trouble yourself with a bag; ",beg,BEFORE,"""MADAM, I beg you not to trouble yourself with a bag; ",trouble,67,67,0,1
"""MADAM, I beg you not to trouble yourself with a bag; ",trouble,BEFORE, I will provide oats. ,provide,67,68,1,1
 I will provide oats. ,provide,AFTER,"But before you commence your tedious sitting, I intend to give you a treat. ",commence,68,69,1,0
"But before you commence your tedious sitting, I intend to give you a treat. ",commence,AFTER,"But before you commence your tedious sitting, I intend to give you a treat. ",intend,69,69,0,1
"But before you commence your tedious sitting, I intend to give you a treat. ",intend,BEFORE,"But before you commence your tedious sitting, I intend to give you a treat. ",give,69,69,1,2
"But before you commence your tedious sitting, I intend to give you a treat. ",give,BEFORE,"""May I ask you to bring up some herbs from the farm-garden to make a savoury omelette? ",ask,69,71,2,1
"""May I ask you to bring up some herbs from the farm-garden to make a savoury omelette? ",ask,BEFORE,"I will provide lard for the stuff-lard for the omelette,"" said the hospitable gentleman with sandy whiskers. ",provide,71,73,1,1
"I will provide lard for the stuff-lard for the omelette,"" said the hospitable gentleman with sandy whiskers. ",provide,AFTER,"I will provide lard for the stuff-lard for the omelette,"" said the hospitable gentleman with sandy whiskers. ",said,73,73,1,2
"I will provide lard for the stuff-lard for the omelette,"" said the hospitable gentleman with sandy whiskers. ",said,AFTER,JEMIMA PUDDLE-DUCK was a simpleton: not even the mention of sage and onions made her suspicious. ,made,73,74,2,1
JEMIMA PUDDLE-DUCK was a simpleton: not even the mention of sage and onions made her suspicious. ,made,BEFORE,"She went round the farm-garden, nibbling off snippets of all the different sorts of herbs that are used for stuffing roast duck. ",went,74,75,1,0
"She went round the farm-garden, nibbling off snippets of all the different sorts of herbs that are used for stuffing roast duck. ",went,BEFORE,"She went round the farm-garden, nibbling off snippets of all the different sorts of herbs that are used for stuffing roast duck. ",nibbling,75,75,0,1
"She went round the farm-garden, nibbling off snippets of all the different sorts of herbs that are used for stuffing roast duck. ",nibbling,BEFORE,"The collie-dog Kep met her coming out, ""What are you doing with those onions? ",met,75,77,1,0
"The collie-dog Kep met her coming out, ""What are you doing with those onions? ",met,AFTER,"The collie-dog Kep met her coming out, ""What are you doing with those onions? ",doing,77,77,0,3
"The collie-dog Kep met her coming out, ""What are you doing with those onions? ",doing,BEFORE,"Where do you go every afternoon by yourself, Jemima Puddle-duck?"" ",go,77,78,3,1
"Where do you go every afternoon by yourself, Jemima Puddle-duck?"" ",go,BEFORE, she told him the whole story. ,told,78,80,1,0
 she told him the whole story. ,told,BEFORE,"The collie listened, with his wise head on one side; ",listened,80,81,0,0
"The collie listened, with his wise head on one side; ",listened,BEFORE, he grinned when she described the polite gentleman with sandy whiskers. ,grinned,81,82,0,0
 he grinned when she described the polite gentleman with sandy whiskers. ,grinned,BEFORE, he grinned when she described the polite gentleman with sandy whiskers. ,described,82,82,0,1
 he grinned when she described the polite gentleman with sandy whiskers. ,described,BEFORE,"HE asked several questions about the wood, and about the exact position of the house and shed. ",asked,82,83,1,0
"HE asked several questions about the wood, and about the exact position of the house and shed. ",asked,BEFORE,"Then he went out, and trotted down the village. ",trotted,83,84,0,1
"Then he went out, and trotted down the village. ",trotted,BEFORE,He went to look for two fox-hound puppies who were out at walk with the butcher. ,went,84,85,1,0
He went to look for two fox-hound puppies who were out at walk with the butcher. ,went,BEFORE,"JEMIMA PUDDLE-DUCK went up the cart-road for the last time, on a sunny afternoon. ",went,85,86,0,0
"JEMIMA PUDDLE-DUCK went up the cart-road for the last time, on a sunny afternoon. ",went,AFTER,She was rather burdened with bunches of herbs and two onions in a bag. ,burdened,86,87,0,1
She was rather burdened with bunches of herbs and two onions in a bag. ,burdened,BEFORE,"She flew over the wood, and alighted opposite the house of the bushy long-tailed gentleman. ",flew,87,88,1,0
"She flew over the wood, and alighted opposite the house of the bushy long-tailed gentleman. ",flew,BEFORE,"She flew over the wood, and alighted opposite the house of the bushy long-tailed gentleman. ",alighted,88,88,0,1
"She flew over the wood, and alighted opposite the house of the bushy long-tailed gentleman. ",alighted,AFTER,HE was sitting on a log; ,sitting,88,89,1,1
HE was sitting on a log; ,sitting,BEFORE," he sniffed the air, and kept glancing uneasily round the wood. ",sniffed,89,90,1,0
" he sniffed the air, and kept glancing uneasily round the wood. ",sniffed,BEFORE," he sniffed the air, and kept glancing uneasily round the wood. ",glancing,90,90,0,2
" he sniffed the air, and kept glancing uneasily round the wood. ",glancing,BEFORE,When Jemima alighted he quite jumped. ,alighted,90,91,2,0
When Jemima alighted he quite jumped. ,alighted,BEFORE,When Jemima alighted he quite jumped. ,jumped,91,91,0,1
When Jemima alighted he quite jumped. ,jumped,AFTER,"""Come into the house as soon as you have looked at your eggs. ",looked,91,92,1,2
"""Come into the house as soon as you have looked at your eggs. ",looked,BEFORE,Give me the herbs for the omelette. ,Give,92,93,2,0
Give me the herbs for the omelette. ,Give,AFTER,Jemima Puddle-duck had never heard him speak like that. ,heard,93,96,0,1
Jemima Puddle-duck had never heard him speak like that. ,heard,BEFORE,Jemima Puddle-duck had never heard him speak like that. ,speak,96,96,1,2
Jemima Puddle-duck had never heard him speak like that. ,speak,BEFORE,"She felt surprised, and uncomfortable. ",felt,96,97,2,0
"She felt surprised, and uncomfortable. ",felt,AFTER,WHILE she was inside she heard pattering feet round the back of the shed. ,heard,97,98,0,1
WHILE she was inside she heard pattering feet round the back of the shed. ,heard,AFTER,"Some one with a black nose sniffed at the bottom of the door, and then locked it. ",sniffed,98,99,1,0
"Some one with a black nose sniffed at the bottom of the door, and then locked it. ",sniffed,BEFORE,Jemima became much alarmed. ,became,99,100,0,0
Jemima became much alarmed. ,became,BEFORE,"PRESENTLY Kep opened the door of the shed, and let out Jemima Puddle-duck. ",opened,100,103,0,0
"PRESENTLY Kep opened the door of the shed, and let out Jemima Puddle-duck. ",opened,BEFORE,Unfortunately the puppies rushed in and gobbled up all the eggs before he could stop them. ,stop,103,104,0,3
Unfortunately the puppies rushed in and gobbled up all the eggs before he could stop them. ,stop,AFTER,He had a bite on his ear and both the puppies were limping. ,had,104,105,3,0
He had a bite on his ear and both the puppies were limping. ,had,BEFORE,JEMIMA PUDDLE-DUCK was escorted home in tears on account of those eggs. ,escorted,105,106,0,1
JEMIMA PUDDLE-DUCK was escorted home in tears on account of those eggs. ,escorted,AFTER,"SHE laid some more in June, and she was permitted to keep them herself: but only four of them hatched. ",laid,106,107,1,0
"SHE laid some more in June, and she was permitted to keep them herself: but only four of them hatched. ",laid,BEFORE,"SHE laid some more in June, and she was permitted to keep them herself: but only four of them hatched. ",permitted,107,107,0,2
"SHE laid some more in June, and she was permitted to keep them herself: but only four of them hatched. ",permitted,BEFORE,Jemima Puddle-duck said that it was because of her nerves; ,said,107,108,2,0
