sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"But the Laird was dead now, and there was nobody left but his wife and two daughters, who had grown poor of late, and who had to work hard for their living. ",grown,BEFORE,"When the Ambassador rode into the courtyard of this house, and, holding out the shoe, asked if there were any fair ladies there who would like to try it on, the elder sister, who always thought a great deal of herself, ran forward, and said that she would do so, while the younger girl just shook her head and went on with her work. ",shook,14,17,4,12
"When the Ambassador rode into the courtyard of this house, and, holding out the shoe, asked if there were any fair ladies there who would like to try it on, the elder sister, who always thought a great deal of herself, ran forward, and said that she would do so, while the younger girl just shook her head and went on with her work. ",shook,BEFORE,"""For,"" said she to herself, ""though my feet are so little that they might go into the slipper, what would I do as the wife of a great Prince? ",said,17,18,12,0
"""For,"" said she to herself, ""though my feet are so little that they might go into the slipper, what would I do as the wife of a great Prince? ",said,BEFORE,"Folk would just laugh at me, and say that I was not fit for the position. ",say,18,19,0,2
"Folk would just laugh at me, and say that I was not fit for the position. ",say,AFTER,"No, no, I am far better to bide as I am."" ",bide,19,20,2,1
"No, no, I am far better to bide as I am."" ",bide,BEFORE,"So the Ambassador gave the glass shoe to the elder sister, who carried it away to her own room; ",carried,20,21,1,1
"So the Ambassador gave the glass shoe to the elder sister, who carried it away to her own room; ",carried,AFTER,"It is true that her face was very white, and that she walked with a little limp; ",walked,21,23,1,2
"It is true that her face was very white, and that she walked with a little limp; ",walked,BEFORE," but no one noticed these things except her younger sister, and she only shook her wise little head, and said nothing. ",said,23,24,2,2
" but no one noticed these things except her younger sister, and she only shook her wise little head, and said nothing. ",said,AFTER,"The Prince's Ambassador was delighted that he had at last found a wife for his master, and he mounted his horse and rode off at full speed to tell him the good news. ",mounted,24,25,2,3
"The Prince's Ambassador was delighted that he had at last found a wife for his master, and he mounted his horse and rode off at full speed to tell him the good news. ",mounted,BEFORE,"When the Prince heard of the success of his errand, he ordered all his Courtiers to be ready to accompany him next day when he went to bring home his Bride. ",ordered,25,26,3,1
"When the Prince heard of the success of his errand, he ordered all his Courtiers to be ready to accompany him next day when he went to bring home his Bride. ",ordered,BEFORE,"You can fancy what excitement there was at the Laird's house when the gallant company arrived, with their Prince at their head, to greet the lady who was to be their Princess. ",arrived,26,27,1,3
"You can fancy what excitement there was at the Laird's house when the gallant company arrived, with their Prince at their head, to greet the lady who was to be their Princess. ",arrived,BEFORE,"The old mother and the plain-looking maid-of-all-work ran hither and thither, fetching such meat and drink as the house could boast to set before their high-born visitors, while the bonnie little sister went and hid herself behind a great pot which stood in the corner of the courtyard, and which was used for boiling hen's meat. ",ran,27,28,3,1
"The old mother and the plain-looking maid-of-all-work ran hither and thither, fetching such meat and drink as the house could boast to set before their high-born visitors, while the bonnie little sister went and hid herself behind a great pot which stood in the corner of the courtyard, and which was used for boiling hen's meat. ",ran,BEFORE,She knew that her foot was the smallest in the house; ,knew,28,29,1,0
She knew that her foot was the smallest in the house; ,knew,BEFORE, and something told her that if the Prince once got a glimpse of her he would not be content till she had tried on the slipper. ,tried,29,30,0,5
 and something told her that if the Prince once got a glimpse of her he would not be content till she had tried on the slipper. ,tried,BEFORE,"Meanwhile, the selfish elder sister did not help at all, but ran up to her chamber, and decked herself out in all the fine clothes that she possessed before she came downstairs to meet the Prince. ",decked,30,31,5,3
"Meanwhile, the selfish elder sister did not help at all, but ran up to her chamber, and decked herself out in all the fine clothes that she possessed before she came downstairs to meet the Prince. ",decked,BEFORE,"And when all the Knights and Courtiers had drunk a stirrup-cup, and wished Good Luck to their Lord and his Bride, she was lifted up behind the Prince on his horse, and rode off so full of her own importance, that she even forgot to say good-bye to her mother and sister. ",say,31,32,3,7
"And when all the Knights and Courtiers had drunk a stirrup-cup, and wished Good Luck to their Lord and his Bride, she was lifted up behind the Prince on his horse, and rode off so full of her own importance, that she even forgot to say good-bye to her mother and sister. ",say,AFTER,"""What is this that the birdie says?"" ",says,32,37,7,1
"""What is this that the birdie says?"" ",says,AFTER,"cried the Prince, who, if the truth be told, did not feel altogether satisfied with the Bride whom fortune had bestowed upon him. ",bestowed,37,38,1,6
"cried the Prince, who, if the truth be told, did not feel altogether satisfied with the Bride whom fortune had bestowed upon him. ",bestowed,BEFORE,"""Do you have another sister, Madam?"" ",have,38,39,6,1
"""Do you have another sister, Madam?"" ",have,BEFORE,"""Only a little one,"" murmured the lady, who liked ill the way in which things seemed to be falling out. ",murmured,39,40,1,0
"""Only a little one,"" murmured the lady, who liked ill the way in which things seemed to be falling out. ",murmured,BEFORE,"""We will go back and find her,"" said the Prince firmly, ""for when I sent out the slipper I had no mind that its wearer should nip her foot, and clip her foot, in order to get it on."" ",clip,40,41,0,8
"""We will go back and find her,"" said the Prince firmly, ""for when I sent out the slipper I had no mind that its wearer should nip her foot, and clip her foot, in order to get it on."" ",clip,BEFORE, and when they reached the Laird's house the Prince ordered a search to be made in the courtyard. ,ordered,41,43,8,1
 and when they reached the Laird's house the Prince ordered a search to be made in the courtyard. ,ordered,BEFORE,"And the bonnie little sister was soon discovered and brought out, all blushes and confusion, from her hiding-place behind the caldron. ",discovered,43,44,1,1
"And the bonnie little sister was soon discovered and brought out, all blushes and confusion, from her hiding-place behind the caldron. ",discovered,BEFORE,"""Give her the slipper, and let her try it on,"" said the Prince, and the eldest sister was forced to obey. ",try,44,45,1,2
"""Give her the slipper, and let her try it on,"" said the Prince, and the eldest sister was forced to obey. ",try,BEFORE,"And what was the horror of the bystanders, as she drew it off, to see that she had cut off the tops of her toes in order to get it on. ",drew,45,46,2,1
"And what was the horror of the bystanders, as she drew it off, to see that she had cut off the tops of her toes in order to get it on. ",drew,AFTER,"But it fitted her little sister's foot exactly, without either paring or clipping; ",fitted,46,47,1,0
"But it fitted her little sister's foot exactly, without either paring or clipping; ",fitted,BEFORE," and when the Prince saw that it was so, he lifted the elder sister down from his horse and lifted the little one up in her place, and carried her home to his Palace, where the wedding was celebrated with great rejoicing; ",lifted,47,48,0,2
