sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
If you give me leave to go home for a few days I'd be glad.' ,give,BEFORE,"'Very well,' said he, 'I will do that, and whenever you feel inclined to return, only mention your wish when you lie down at night.' ",feel,34,35,0,3
"'Very well,' said he, 'I will do that, and whenever you feel inclined to return, only mention your wish when you lie down at night.' ",feel,BEFORE,The next morning when she awoke she found herself in her own old chamber in her father's palace. ,awoke,35,36,3,0
The next morning when she awoke she found herself in her own old chamber in her father's palace. ,awoke,BEFORE,"She rang the bell, and in a short time she had her mother and father and married sisters about her, and they laughed till they cried for joy at finding her safe back again. ",cried,36,37,0,4
"She rang the bell, and in a short time she had her mother and father and married sisters about her, and they laughed till they cried for joy at finding her safe back again. ",cried,BEFORE,"In time she told them all that had happened to her, and they didn't know what to advise her to do. ",know,37,38,4,4
"In time she told them all that had happened to her, and they didn't know what to advise her to do. ",know,BEFORE,"She was as fond of her husband as ever, and said she was sure that he couldn't help letting the children go; ",letting,38,39,4,5
"She was as fond of her husband as ever, and said she was sure that he couldn't help letting the children go; ",letting,BEFORE, but still she was afraid beyond the world to have another child torn from her. ,torn,39,40,5,2
 but still she was afraid beyond the world to have another child torn from her. ,torn,BEFORE,"Well, the mother and sisters consulted a wise woman that used to bring eggs to the castle, for they had great faith in her wisdom. ",consulted,40,41,2,0
"Well, the mother and sisters consulted a wise woman that used to bring eggs to the castle, for they had great faith in her wisdom. ",consulted,AFTER,"She said the only plan was to secure the bear's skin that the prince was obliged to put on every morning, and get it burned, and then he couldn't help being a man night and day, and the enchantment would be at an end. ",obliged,41,42,0,4
"She said the only plan was to secure the bear's skin that the prince was obliged to put on every morning, and get it burned, and then he couldn't help being a man night and day, and the enchantment would be at an end. ",obliged,BEFORE,"So they all persuaded her to do that, and she promised she would; ",promised,42,43,4,2
"So they all persuaded her to do that, and she promised she would; ",promised,BEFORE," and after eight days she felt so great a longing to see her husband again that she made the wish the same night, and when she woke three hours after, she was in her husband's palace, and he himself was watching over her. ",woke,43,44,2,3
" and after eight days she felt so great a longing to see her husband again that she made the wish the same night, and when she woke three hours after, she was in her husband's palace, and he himself was watching over her. ",woke,AFTER,"Now she began to think how she never minded her husband leaving her in the morning, and how she never found him neglecting to give her a sweet drink out of a gold cup just as she was going to bed. ",leaving,44,46,3,3
"Now she began to think how she never minded her husband leaving her in the morning, and how she never found him neglecting to give her a sweet drink out of a gold cup just as she was going to bed. ",leaving,BEFORE,"One night she contrived not to drink any of it, though she pretended to do so; ",drink,46,47,3,1
"One night she contrived not to drink any of it, though she pretended to do so; ",drink,BEFORE," and she was wakeful enough in the morning, and saw her husband passing out through a panel in the wainscot, though she kept her eyelids nearly closed. ",saw,47,48,1,1
" and she was wakeful enough in the morning, and saw her husband passing out through a panel in the wainscot, though she kept her eyelids nearly closed. ",saw,BEFORE,"The next night she got a few drops of the sleepy posset that she saved the evening before put into her husband's night drink, and that made him sleep sound enough. ",got,48,49,1,0
"The next night she got a few drops of the sleepy posset that she saved the evening before put into her husband's night drink, and that made him sleep sound enough. ",got,BEFORE,"She got up after midnight, passed through the panel, and found a Beautiful brown bear's hide hanging in the corner. ",found,49,50,0,2
"She got up after midnight, passed through the panel, and found a Beautiful brown bear's hide hanging in the corner. ",found,BEFORE,"Then she stole back, and went down to the parlour fire, and put the hide into the middle of it till it was all fine ashes. ",stole,50,51,2,0
"Then she stole back, and went down to the parlour fire, and put the hide into the middle of it till it was all fine ashes. ",stole,BEFORE,"She then lay down by her husband, gave him a kiss on the cheek, and fell asleep. ",gave,51,52,0,1
"She then lay down by her husband, gave him a kiss on the cheek, and fell asleep. ",gave,BEFORE,"If she was to live a hundred years she'd never forget how she wakened next morning, and found her husband looking down on her with misery and anger in his face. ",looking,52,53,1,6
"If she was to live a hundred years she'd never forget how she wakened next morning, and found her husband looking down on her with misery and anger in his face. ",looking,AFTER,"'Unhappy woman,' said he, 'you have separated us for ever! ",separated,53,54,6,2
"'Unhappy woman,' said he, 'you have separated us for ever! ",separated,BEFORE,Why hadn't you patience for five years? ,patience,54,55,2,1
Why hadn't you patience for five years? ,patience,BEFORE,"I am now obliged, whether I like or no, to go a three days' journey to the witch's castle, and marry her daughter. ",marry,55,56,1,4
"I am now obliged, whether I like or no, to go a three days' journey to the witch's castle, and marry her daughter. ",marry,AFTER,"The skin that was my guard you have burned it, and the egg-wife that gave you the counsel was the witch herself. ",gave,56,57,4,3
"The skin that was my guard you have burned it, and the egg-wife that gave you the counsel was the witch herself. ",gave,BEFORE,I won't reproach you: your punishment will be severe without it. ,reproach,57,58,3,1
I won't reproach you: your punishment will be severe without it. ,reproach,BEFORE,"He kissed her for the last time, and was off the next minute, walking as fast as he could. ",walking,58,60,1,2
"He kissed her for the last time, and was off the next minute, walking as fast as he could. ",walking,BEFORE,"She shouted after him, and then seeing there was no use, she dressed herself and pursued him. ",shouted,60,61,2,0
"She shouted after him, and then seeing there was no use, she dressed herself and pursued him. ",shouted,BEFORE,"He never stopped, nor stayed, nor looked back, and still she kept him in sight; ",stopped,61,62,0,0
"He never stopped, nor stayed, nor looked back, and still she kept him in sight; ",stopped,BEFORE,"Her life was almost leaving her, when, just as the sun was setting, he turned up a lane, and went into a little house. ",leaving,62,64,0,1
"Her life was almost leaving her, when, just as the sun was setting, he turned up a lane, and went into a little house. ",leaving,BEFORE,"She crawled up after him, and when she got inside there was a beautiful little boy on his knees, and he kissing and hugging him. ",got,64,65,1,1
"She crawled up after him, and when she got inside there was a beautiful little boy on his knees, and he kissing and hugging him. ",got,AFTER,"'Here, my poor darling,'says he, 'is your eldest child, and there,' says he, pointing to a woman that was looking on with a smile on her face, 'is the eagle that carried him away.' ",carried,65,66,1,6
"'Here, my poor darling,'says he, 'is your eldest child, and there,' says he, pointing to a woman that was looking on with a smile on her face, 'is the eagle that carried him away.' ",carried,BEFORE,"She forgot all her sorrows in a moment, hugging her child, and laughing and crying over him. ",hugging,66,67,6,1
"She forgot all her sorrows in a moment, hugging her child, and laughing and crying over him. ",hugging,BEFORE,"The woman washed their feet, and rubbed them with an ointment that took all the soreness out of their bones, and made them as fresh as a daisy. ",rubbed,67,68,1,1
"The woman washed their feet, and rubbed them with an ointment that took all the soreness out of their bones, and made them as fresh as a daisy. ",rubbed,BEFORE,"Next morning, just before sunrise, he was up, and prepared to be off, 'Here,' said he to her, 'is a thing which may be of use to you. ",said,68,69,1,3
"Next morning, just before sunrise, he was up, and prepared to be off, 'Here,' said he to her, 'is a thing which may be of use to you. ",said,AFTER,"It's a scissors, and whatever stuff you cut with it will be turned into silk. ",cut,69,70,3,1
"It's a scissors, and whatever stuff you cut with it will be turned into silk. ",cut,BEFORE,"The moment the sun rises, I'll lose all memory of yourself and the children, but I'll get it at sunset again. ",lose,70,71,1,2
"The moment the sun rises, I'll lose all memory of yourself and the children, but I'll get it at sunset again. ",lose,BEFORE,"But he wasn't far gone till she was in sight of him again, leaving her boy behind. ",leaving,71,73,2,3
"But he wasn't far gone till she was in sight of him again, leaving her boy behind. ",leaving,BEFORE,"He never stopped, and she never stopped, and as the sun was setting he turned up another lane, and there they found their little daughter. ",stopped,73,75,3,1
"He never stopped, and she never stopped, and as the sun was setting he turned up another lane, and there they found their little daughter. ",stopped,BEFORE,"But before he started he gave her a comb, and told her that whenever she used it, pearls and diamonds would fall from her hair. ",used,75,77,1,3
"But before he started he gave her a comb, and told her that whenever she used it, pearls and diamonds would fall from her hair. ",used,BEFORE,"This night they came to where the youngest baby was, and the next morning, just before sunrise, the prince spoke to her for the last time. ",came,77,80,3,0
"This night they came to where the youngest baby was, and the next morning, just before sunrise, the prince spoke to her for the last time. ",came,BEFORE,"'Here, my poor wife,' said he, 'is a little hand-reel, with gold thread that has no end, and the half of our marriage ring. ",said,80,81,0,0
"'Here, my poor wife,' said he, 'is a little hand-reel, with gold thread that has no end, and the half of our marriage ring. ",said,BEFORE,"If you ever get to my house, and put your half-ring to mine, I shall recollect you. ",recollect,81,82,0,3
"If you ever get to my house, and put your half-ring to mine, I shall recollect you. ",recollect,AFTER,"She saw it open before him and close after him, and when she came up, she could no more get in than she could break through a stone wall. ",saw,82,86,3,0
"She saw it open before him and close after him, and when she came up, she could no more get in than she could break through a stone wall. ",saw,BEFORE,"She wrung her hands and shed tears, but then she recollected herself, and cried out, 'Wood, I charge you by my three magic gifts, the scissors, the comb, and the reel--to let me through';",recollected,86,87,0,2
"She wrung her hands and shed tears, but then she recollected herself, and cried out, 'Wood, I charge you by my three magic gifts, the scissors, the comb, and the reel--to let me through';",recollected,BEFORE," and it opened, and she went along a walk till she came in sight of a palace, and a lawn, and a woodman's cottage on the edge of the wood where it came nearest the palace. ",went,87,88,2,1
" and it opened, and she went along a walk till she came in sight of a palace, and a lawn, and a woodman's cottage on the edge of the wood where it came nearest the palace. ",went,BEFORE,"She went into the lodge, and asked the woodman and his wife to take her into their service. ",asked,88,89,1,1
"She went into the lodge, and asked the woodman and his wife to take her into their service. ",asked,BEFORE," but she told them she would ask no wages, and would give them diamonds, and pearls, and silk stuffs, and gold thread whenever they wished for them, and then they agreed to let her stay. ",ask,89,91,1,2
" but she told them she would ask no wages, and would give them diamonds, and pearls, and silk stuffs, and gold thread whenever they wished for them, and then they agreed to let her stay. ",ask,BEFORE,"It wasn't long till she heard how a young prince, that was just arrived, was living in the palace of the young mistress. ",heard,91,92,2,1
"It wasn't long till she heard how a young prince, that was just arrived, was living in the palace of the young mistress. ",heard,BEFORE,"He seldom stirred abroad, and every one that saw him remarked how silent and sorrowful he went about, like a person that was searching for some lost thing. ",saw,92,93,1,1
"He seldom stirred abroad, and every one that saw him remarked how silent and sorrowful he went about, like a person that was searching for some lost thing. ",saw,BEFORE,"The servants and conceited folk at the big house began to take notice of the beautiful young woman at the lodge, and to annoy her with their impudence. ",began,93,94,1,0
"The servants and conceited folk at the big house began to take notice of the beautiful young woman at the lodge, and to annoy her with their impudence. ",began,BEFORE,"The head footman was the most troublesome, and at last she invited him to come and take tea with her. ",invited,94,95,0,1
"The head footman was the most troublesome, and at last she invited him to come and take tea with her. ",invited,BEFORE,"Oh, how rejoiced he was, and how he bragged of it in the servants' hall! ",bragged,95,96,1,2
"Oh, how rejoiced he was, and how he bragged of it in the servants' hall! ",bragged,BEFORE,"Well, the evening came, and the footman walked into the lodge, and was shown to her sitting-room; ",walked,96,97,2,1
"Well, the evening came, and the footman walked into the lodge, and was shown to her sitting-room; ",walked,BEFORE," for the lodge-keeper and his wife stood in great awe of her, and gave her two nice rooms for herself. ",gave,97,98,1,1
" for the lodge-keeper and his wife stood in great awe of her, and gave her two nice rooms for herself. ",gave,BEFORE,"Well, he sat down as stiff as a ramrod, and was talking in a grand style about the great doings at the castle, while she was getting the tea and toast ready. ",talking,98,99,1,2
"Well, he sat down as stiff as a ramrod, and was talking in a grand style about the great doings at the castle, while she was getting the tea and toast ready. ",talking,BEFORE,"'Oh,' says she to him, 'would you put your hand out at the window and cut me off a sprig or two of honeysuckle?' ",cut,99,100,2,3
"'Oh,' says she to him, 'would you put your hand out at the window and cut me off a sprig or two of honeysuckle?' ",cut,BEFORE," and said she, 'By the virtue of my magic gifts, let a pair of horns spring out of your head, and sing to the lodge.' ",let,100,102,3,1
" and said she, 'By the virtue of my magic gifts, let a pair of horns spring out of your head, and sing to the lodge.' ",let,BEFORE,"Just as she wished, so it was. ",wished,102,103,1,0
"Just as she wished, so it was. ",wished,BEFORE,And how he bawled and roared! ,bawled,103,106,0,0
And how he bawled and roared! ,bawled,BEFORE,"and the servants that he used to be boasting to were soon flocking from the castle, and grinning, and huzzaing, and beating tunes on tongs and shovels and pans; ",grinning,106,107,0,5
"and the servants that he used to be boasting to were soon flocking from the castle, and grinning, and huzzaing, and beating tunes on tongs and shovels and pans; ",grinning,BEFORE," and he cursing and swearing, and the eyes ready to start out of his head, and he so black in the face, and kicking out his legs behind him like mad. ",cursing,107,108,5,0
" and he cursing and swearing, and the eyes ready to start out of his head, and he so black in the face, and kicking out his legs behind him like mad. ",cursing,BEFORE,"At last she pitied him, and removed the charm, and the horns dropped down on the ground, and he would have killed her on the spot, only he was as weak as water, and his fellow-servants came in and carried him up to the big house. ",removed,108,109,0,1
"At last she pitied him, and removed the charm, and the horns dropped down on the ground, and he would have killed her on the spot, only he was as weak as water, and his fellow-servants came in and carried him up to the big house. ",removed,BEFORE,"Well, some way or other the story came to the ears of the prince, and he strolled down that way. ",came,109,110,1,0
"Well, some way or other the story came to the ears of the prince, and he strolled down that way. ",came,AFTER,"She had only the dress of a countrywoman on her as she sat sewing at the window, but that did not hide her beauty, and he was greatly puzzled after he had a good look, just as a body is puzzled to know whether something happened to him when he was young or if he only dreamed it. ",dreamed,110,111,0,12
"She had only the dress of a countrywoman on her as she sat sewing at the window, but that did not hide her beauty, and he was greatly puzzled after he had a good look, just as a body is puzzled to know whether something happened to him when he was young or if he only dreamed it. ",dreamed,BEFORE,"Well, the witch's daughter heard about it too, and she came to see the strange girl; ",came,111,112,12,1
"Well, the witch's daughter heard about it too, and she came to see the strange girl; ",came,BEFORE, and what did she find her doing but cutting out the pattern of a gown from brown paper; ,find,112,113,1,1
 and what did she find her doing but cutting out the pattern of a gown from brown paper; ,find,AFTER," and as she cut away, the paper became the richest silk she ever saw. ",saw,113,114,1,2
" and as she cut away, the paper became the richest silk she ever saw. ",saw,BEFORE,"The witch's daughter looked on with greedy eyes, and, says she, 'What would you be satisfied to take for that scissors?' ",says,114,115,2,1
"The witch's daughter looked on with greedy eyes, and, says she, 'What would you be satisfied to take for that scissors?' ",says,BEFORE,"'I'll take nothing,' says she, 'but leave to spend one night outside the prince's chamber.' ",says,115,116,1,2
"'I'll take nothing,' says she, 'but leave to spend one night outside the prince's chamber.' ",says,BEFORE,"Well, the proud lady fired up, and was going to say something dreadful; ",say,116,117,2,3
"Well, the proud lady fired up, and was going to say something dreadful; ",say,AFTER,So she promised what the girl had asked her. ,asked,117,119,3,2
So she promised what the girl had asked her. ,asked,BEFORE,When night came on she was let into the palace and lay down till the prince was in such a dead sleep that all she did couldn't awake him. ,awake,119,120,2,7
When night came on she was let into the palace and lay down till the prince was in such a dead sleep that all she did couldn't awake him. ,awake,BEFORE,"She sung this verse to him, sighing and sobbing, and kept singing it the night long, and it was all in vain: Four long years I was married to thee; ",sung,120,121,7,0
"She sung this verse to him, sighing and sobbing, and kept singing it the night long, and it was all in vain: Four long years I was married to thee; ",sung,AFTER, Three sweet babes I bore to thee; ,bore,121,122,0,0
 Three sweet babes I bore to thee; ,bore,BEFORE,"At the first dawn the proud lady was in the chamber, and led her away, and the footman of the horns put out his tongue at her as she was quitting the palace. ",led,122,124,0,1
"At the first dawn the proud lady was in the chamber, and led her away, and the footman of the horns put out his tongue at her as she was quitting the palace. ",led,BEFORE," but the next day the prince passed by again and looked at her, and saluted her kindly, as a prince might a farmer's daughter, and passed one; ",passed,124,126,1,4
" but the next day the prince passed by again and looked at her, and saluted her kindly, as a prince might a farmer's daughter, and passed one; ",passed,BEFORE," and soon the witch's daughter passed by, and found her combing her hair, and pearls and diamonds dropping from it. ",combing,126,127,4,2
" and soon the witch's daughter passed by, and found her combing her hair, and pearls and diamonds dropping from it. ",combing,BEFORE,"Well, another bargain was made, and the princess spent another night of sorrow, and she left the castle at daybreak, and the footman was at his post and enjoyed his revenge. ",left,127,128,2,3
"Well, another bargain was made, and the princess spent another night of sorrow, and she left the castle at daybreak, and the footman was at his post and enjoyed his revenge. ",left,BEFORE,"The third day the prince went by, and stopped to talk with the strange woman. ",stopped,128,129,3,1
"The third day the prince went by, and stopped to talk with the strange woman. ",stopped,BEFORE,"He asked her could he do anything to serve her, and she said he might. ",said,129,130,1,4
"He asked her could he do anything to serve her, and she said he might. ",said,AFTER,She asked him did he ever wake at night. ,wake,130,131,4,2
She asked him did he ever wake at night. ,wake,BEFORE,"He said that he often did, but that during the last two nights he was listening to a sweet song in his dreams, and could not wake, and that the voice was one that he must have known and loved in some other world long ago. ",wake,131,132,2,5
"He said that he often did, but that during the last two nights he was listening to a sweet song in his dreams, and could not wake, and that the voice was one that he must have known and loved in some other world long ago. ",wake,BEFORE,"Says she, 'Did you drink any sleepy posset either of these evenings before you went to bed?' ",Says,132,133,5,0
"Says she, 'Did you drink any sleepy posset either of these evenings before you went to bed?' ",Says,BEFORE,"'I did,' said he. ",said,133,134,0,1
"'I did,' said he. ",said,AFTER,"'The two evenings my wife gave me something to drink, but I don't know whether it was a sleepy posset or not.' ",gave,134,135,1,0
"'The two evenings my wife gave me something to drink, but I don't know whether it was a sleepy posset or not.' ",gave,BEFORE,"'Well, prince,' said she, 'as you say you would wish to oblige me, you can do it by not tasting any drink to-night.' ",said,135,136,0,0
"'Well, prince,' said she, 'as you say you would wish to oblige me, you can do it by not tasting any drink to-night.' ",said,BEFORE,"'I will not,' says he, and then he went on his walk. ",went,136,137,0,2
"'I will not,' says he, and then he went on his walk. ",went,BEFORE,"Well, the great lady came soon after the prince, and found the stranger using her hand-reel and winding threads of gold off it, and the third bargain was made. ",came,137,138,2,0
"Well, the great lady came soon after the prince, and found the stranger using her hand-reel and winding threads of gold off it, and the third bargain was made. ",came,BEFORE,"That evening the prince was lying on his bed at twilight, and his mind much disturbed; ",lying,138,139,0,1
"That evening the prince was lying on his bed at twilight, and his mind much disturbed; ",lying,BEFORE," and the door opened, and in his princess walked, and down she sat by his bedside and sung: Four long years I was married to thee; ",walked,139,140,1,1
" and the door opened, and in his princess walked, and down she sat by his bedside and sung: Four long years I was married to thee; ",walked,BEFORE,"'Don't you remember, prince, that I was your wedded wife for four years?' ",remember,140,146,1,1
"'Don't you remember, prince, that I was your wedded wife for four years?' ",remember,BEFORE,"'I do not,' said he, 'but I'm sure I wish it was so.' ",said,146,147,1,1
"'I do not,' said he, 'but I'm sure I wish it was so.' ",said,AFTER,'Don't you remember our three babes that are still alive?' ,remember,147,148,1,1
'Don't you remember our three babes that are still alive?' ,remember,BEFORE,'Show me them. ,Show,148,149,1,0
'Show me them. ,Show,BEFORE,"His full memory came back on him, and he flung his arms round his wife's neck, and both burst into tears. ",flung,149,153,0,1
"His full memory came back on him, and he flung his arms round his wife's neck, and both burst into tears. ",flung,BEFORE,"Everyone in the castle was alarmed, and made their way out. ",made,153,155,1,1
"Everyone in the castle was alarmed, and made their way out. ",made,BEFORE,"The prince and princess went with the rest, and by the time all were safe on the lawn, down came the building, and made the ground tremble for miles round. ",went,155,156,1,0
"The prince and princess went with the rest, and by the time all were safe on the lawn, down came the building, and made the ground tremble for miles round. ",went,BEFORE,No one ever saw the witch and her daughter afterwards. ,saw,156,157,0,0
No one ever saw the witch and her daughter afterwards. ,saw,BEFORE,"It was not long till the prince and princess had their children with them, and then they set out for their own palace. ",had,157,158,0,1
"It was not long till the prince and princess had their children with them, and then they set out for their own palace. ",had,BEFORE,"The kings of Ireland and of Munster and Ulster, and their wives, soon came to visit them, and may every one that deserves it be as happy as the Brown Bear of Norway and his family.",came,158,159,1,0
