clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
some one of the kind,54,1,0,1,some one of the kind,unknown,0.0,tertiary
an old fellow,56,1,0,1,an old fellow,unknown,0.0,tertiary
one of the happiest of men,59,1,0,1,one of the happiest of men,male,1.0,tertiary
the happiest of men,60,1,0,1,the happiest of men,male,1.0,tertiary
One of the happiest,117,1,0,1,One of the happiest,unknown,0.0,tertiary
my company,119,1,0,1,my company,unknown,0.0,tertiary
the happiest fellow in creation,6,1,0,1,the happiest fellow in creation,unknown,0.0,tertiary
the director of a real troupe of men and women,122,1,0,1,the director of a real troupe of men and women,female,0.5,tertiary
women,124,1,0,1,women,female,1.0,tertiary
living actors,126,1,0,1,living actors,unknown,0.0,tertiary
a splendid audience,16,1,0,1,a splendid audience,unknown,0.0,tertiary
mankind,67,1,0,1,mankind,unknown,0.0,tertiary
children,25,1,0,1,children,unknown,0.0,tertiary
the manager of a real theatre,120,1,0,1,the manager of a real theatre,unknown,0.0,tertiary
