sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
10,5,love,94,98,1049,1053,5,76.0,84.0,1031.0,1039.0,,,,,verb.emotion,17,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
11,2,came,44,48,1114,1118,5,28.0,43.0,1098.0,1113.0,,,,,verb.change,18,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
11,2,came,44,48,1114,1118,28,28.0,43.0,1098.0,1113.0,,,,,verb.change,18,subject,General Li Dsing's his friends,1.0,1.0,2.0,unknown,0.0,tertiary
11,3,wish,52,56,1122,1126,5,28.0,43.0,1098.0,1113.0,,,,,verb.emotion,20,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
11,3,wish,52,56,1122,1126,28,28.0,43.0,1098.0,1113.0,,,,,verb.emotion,20,subject,General Li Dsing's his friends,1.0,1.0,2.0,unknown,0.0,tertiary
12,1,sitting,15,22,1151,1158,28,0.0,4.0,1136.0,1140.0,44.0,102.0,1180.0,1238.0,verb.contact,19,subject,General Li Dsing's his friends,1.0,1.0,2.0,unknown,0.0,tertiary
12,2,entered,65,72,1201,1208,19,49.0,64.0,1185.0,1200.0,,,,,verb.motion,21,subject,a Taoist priest,2.0,3.0,5.0,unknown,0.0,tertiary
12,3,said,77,81,1213,1217,19,49.0,64.0,1185.0,1200.0,,,,,verb.communication,23,subject,a Taoist priest,2.0,3.0,5.0,unknown,0.0,tertiary
14,2,kill,41,45,1369,1373,27,4.0,11.0,1332.0,1339.0,,,,,verb.contact,24,subject,the boy,4.0,4.0,8.0,male,1.0,tertiary
15,1,take,17,21,1401,1405,19,10.0,11.0,1394.0,1395.0,26.0,63.0,1410.0,1447.0,verb.motion,25,subject,a Taoist priest,2.0,3.0,5.0,unknown,0.0,tertiary
15,2,gentle,41,47,1425,1431,27,22.0,25.0,1406.0,1409.0,,,,,verb.emotion,27,subject,the boy,4.0,4.0,8.0,male,1.0,tertiary
16,0,bowed,9,14,1459,1464,5,0.0,8.0,1450.0,1458.0,,,,,verb.communication,26,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
16,1,disappeared,44,55,1494,1505,9,30.0,43.0,1480.0,1493.0,,,,,verb.change,28,subject,the Great One,2.0,0.0,2.0,unknown,0.0,tertiary
18,0,came,3,7,1571,1575,8,0.0,2.0,1568.0,1570.0,,,,,verb.motion,29,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
19,1,entered,29,36,1702,1709,8,21.0,28.0,1694.0,1701.0,47.0,62.0,1720.0,1735.0,verb.motion,30,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
19,2,cool,50,54,1723,1727,8,21.0,28.0,1694.0,1701.0,,,,,verb.body,31,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
20,0,unbound,3,10,1740,1747,8,0.0,2.0,1737.0,1739.0,,,,,verb.contact,32,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
20,1,whisked,38,45,1775,1782,8,0.0,2.0,1737.0,1739.0,68.0,78.0,1805.0,1815.0,verb.contact,33,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
20,2,wash,71,75,1808,1812,8,0.0,2.0,1737.0,1739.0,,,,,verb.contact,35,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
21,0,sat,18,21,1835,1838,8,10.0,17.0,1827.0,1834.0,,,,,verb.contact,34,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
21,1,whisked,32,39,1849,1856,8,10.0,17.0,1827.0,1834.0,56.0,68.0,1873.0,1885.0,verb.motion,36,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
22,1,look,50,54,2020,2024,36,28.0,36.0,1998.0,2006.0,,,,,verb.perception,37,subject,a Triton,1.0,0.0,1.0,unknown,0.0,tertiary
23,0,saw,16,19,2088,2091,10,5.0,15.0,2077.0,2087.0,,,,,verb.perception,38,subject,The Triton,5.0,5.0,10.0,male,1.0,tertiary
23,1,began,31,36,2103,2108,8,28.0,30.0,2100.0,2102.0,,,,,verb.change,39,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
23,2,scold,40,45,2112,2117,8,20.0,27.0,2092.0,2099.0,,,,,verb.communication,40,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
23,2,scold,40,45,2112,2117,27,20.0,27.0,2092.0,2099.0,,,,,verb.communication,40,subject,the boy,4.0,4.0,8.0,male,1.0,tertiary
24,0,looked,22,28,2141,2147,38,4.0,14.0,2123.0,2133.0,,,,,verb.perception,41,subject,,,,,,,
24,1,said,36,40,2155,2159,38,4.0,14.0,2123.0,2133.0,,,,,verb.communication,43,subject,,,,,,,
24,5,talk,102,106,2221,2225,27,85.0,88.0,2204.0,2207.0,,,,,verb.communication,42,subject,the boy,4.0,4.0,8.0,male,1.0,tertiary
25,0,grew,16,20,2244,2248,10,5.0,15.0,2233.0,2243.0,,,,,verb.change,44,subject,The Triton,5.0,5.0,10.0,male,1.0,tertiary
25,2,struck,44,50,2272,2278,10,5.0,15.0,2233.0,2243.0,,,,,verb.contact,45,subject,The Triton,5.0,5.0,10.0,male,1.0,tertiary
26,0,avoided,15,22,2318,2325,38,4.0,14.0,2307.0,2317.0,,,,,verb.communication,46,subject,,,,,,,
26,1,threw,37,42,2340,2345,38,4.0,14.0,2307.0,2317.0,54.0,60.0,2357.0,2363.0,verb.contact,47,subject,,,,,,,
27,1,sank,48,52,2420,2424,10,45.0,47.0,2417.0,2419.0,58.0,62.0,2430.0,2434.0,verb.motion,49,subject,The Triton,5.0,5.0,10.0,male,1.0,tertiary
28,0,laughed,8,15,2444,2451,8,0.0,7.0,2436.0,2443.0,,,,,verb.body,50,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
28,1,said,20,24,2456,2460,8,0.0,7.0,2436.0,2443.0,,,,,verb.communication,52,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
28,3,gone,44,48,2480,2484,10,31.0,36.0,2467.0,2472.0,,,,,verb.motion,51,subject,The Triton,5.0,5.0,10.0,male,1.0,tertiary
28,4,made,53,57,2489,2493,10,37.0,39.0,2473.0,2475.0,,,,,verb.change,53,subject,The Triton,5.0,5.0,10.0,male,1.0,tertiary
31,0,came,20,24,2694,2698,40,4.0,14.0,2678.0,2688.0,,,,,verb.motion,55,subject,a watchman,1.0,0.0,1.0,unknown,0.0,tertiary
31,1,reported,29,37,2703,2711,40,4.0,14.0,2678.0,2688.0,,,,,verb.communication,57,subject,a watchman,1.0,0.0,1.0,unknown,0.0,tertiary
31,4,slain,63,68,2737,2742,41,43.0,53.0,2717.0,2727.0,,,,,verb.contact,56,subject,the Triton,1.0,0.0,1.0,unknown,0.0,tertiary
33,0,seated,12,18,2821,2827,46,4.0,11.0,2813.0,2820.0,27.0,54.0,2836.0,2863.0,verb.contact,59,subject,the son,1.0,1.0,2.0,unknown,0.0,tertiary
34,1,said,28,32,2945,2949,8,0.0,7.0,2917.0,2924.0,,,,,verb.communication,63,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
35,0,saw,12,15,2985,2988,8,9.0,11.0,2982.0,2984.0,,,,,verb.perception,62,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
36,0,answered,8,16,3116,3124,8,0.0,7.0,3108.0,3115.0,,,,,verb.communication,65,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
36,1,wanted,30,36,3138,3144,10,19.0,29.0,3127.0,3137.0,,,,,verb.emotion,64,subject,The Triton,5.0,5.0,10.0,male,1.0,tertiary
36,2,slay,40,44,3148,3152,10,19.0,29.0,3127.0,3137.0,,,,,verb.contact,66,subject,The Triton,5.0,5.0,10.0,male,1.0,tertiary
36,3,killed,53,59,3161,3167,8,51.0,52.0,3159.0,3160.0,,,,,verb.contact,67,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
38,0,assailed,16,24,3220,3228,48,5.0,15.0,3209.0,3219.0,,,,,verb.contact,68,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
39,0,said,12,16,3263,3267,8,4.0,11.0,3255.0,3262.0,,,,,verb.communication,70,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
42,1,rouse,13,18,3419,3424,8,0.0,3.0,3406.0,3409.0,,,,,verb.communication,71,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
42,3,skin,58,62,3464,3468,8,51.0,52.0,3457.0,3458.0,68.0,112.0,3474.0,3518.0,verb.contact,72,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
43,0,grew,16,20,3537,3541,48,5.0,15.0,3526.0,3536.0,,,,,verb.change,73,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
43,1,came,41,45,3562,3566,48,5.0,15.0,3526.0,3536.0,,,,,verb.motion,74,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
43,2,storming,46,54,3567,3575,48,5.0,15.0,3526.0,3536.0,,,,,verb.motion,75,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
44,0,cast,12,16,3605,3609,8,4.0,11.0,3597.0,3604.0,35.0,130.0,3628.0,3723.0,verb.contact,76,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
45,0,took,13,17,3738,3742,8,5.0,12.0,3730.0,3737.0,29.0,35.0,3754.0,3760.0,verb.contact,78,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
45,1,struck,40,46,3765,3771,8,5.0,12.0,3730.0,3737.0,51.0,164.0,3776.0,3889.0,verb.contact,79,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
45,3,reveal,94,100,3819,3825,8,84.0,86.0,3809.0,3811.0,109.0,144.0,3834.0,3869.0,verb.perception,80,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
46,0,laughed,8,15,3899,3906,8,0.0,7.0,3891.0,3898.0,,,,,verb.body,81,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
46,1,said,20,24,3911,3915,8,0.0,7.0,3891.0,3898.0,,,,,verb.communication,83,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
46,3,heard,34,39,3925,3930,8,27.0,28.0,3918.0,3919.0,,,,,verb.cognition,82,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
46,4,tell,40,44,3931,3935,8,27.0,28.0,3918.0,3919.0,,,,,verb.communication,84,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
47,1,draw,7,11,3979,3983,8,0.0,1.0,3972.0,3973.0,16.0,19.0,3988.0,3991.0,verb.contact,85,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
47,2,bring,24,29,3996,4001,8,0.0,1.0,3972.0,3973.0,,,,,verb.motion,86,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
47,4,tie,58,61,4030,4033,169,51.0,53.0,4023.0,4025.0,,,,,verb.contact,88,subject,Notscha's father,1.0,2.0,3.0,male,1.0,tertiary
48,0,drew,17,21,4080,4084,8,14.0,16.0,4077.0,4079.0,,,,,verb.motion,87,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
48,1,took,54,58,4117,4121,8,14.0,16.0,4077.0,4079.0,62.0,66.0,4125.0,4129.0,verb.change,90,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
49,1,hastened,51,59,4182,4190,52,16.0,45.0,4147.0,4176.0,,,,,verb.motion,89,subject,"the Dragon - King , full of fury",1.0,0.0,1.0,male,1.0,tertiary
49,2,demanded,93,101,4224,4232,52,16.0,45.0,4147.0,4176.0,,,,,verb.communication,91,subject,"the Dragon - King , full of fury",1.0,0.0,1.0,male,1.0,tertiary
50,0,replied,13,20,4283,4290,5,4.0,12.0,4274.0,4282.0,,,,,verb.communication,92,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
51,2,came,41,45,4435,4439,8,22.0,40.0,4416.0,4434.0,,,,,verb.motion,93,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
53,0,threatened,3,13,4622,4632,48,0.0,2.0,4619.0,4621.0,,,,,verb.communication,94,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
53,1,report,17,23,4636,4642,48,0.0,2.0,4619.0,4621.0,,,,,verb.communication,95,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
53,3,snorting,83,91,4702,4710,48,0.0,2.0,4619.0,4621.0,,,,,verb.body,96,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
54,0,grew,9,13,4731,4735,5,0.0,8.0,4722.0,4730.0,,,,,verb.change,97,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
54,5,weep,84,88,4806,4810,59,70.0,74.0,4792.0,4796.0,,,,,verb.body,99,subject,both,1.0,1.0,2.0,group/nonbinary,1.0,tertiary
55,0,came,18,22,4830,4834,8,0.0,7.0,4812.0,4819.0,,,,,verb.motion,100,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
55,1,said,35,39,4847,4851,8,0.0,7.0,4812.0,4819.0,,,,,verb.communication,102,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
55,3,weep,53,57,4865,4869,171,49.0,52.0,4861.0,4864.0,,,,,verb.body,101,subject,Father,1.0,4.0,5.0,male,1.0,tertiary
56,3,know,56,60,4927,4931,172,48.0,50.0,4919.0,4921.0,,,,,verb.cognition,104,subject,Notscha's master,1.0,1.0,2.0,male,1.0,tertiary
57,1,said,21,25,4974,4978,8,18.0,20.0,4971.0,4973.0,,,,,verb.communication,103,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
57,3,disappeared,48,59,5001,5012,8,41.0,43.0,4994.0,4996.0,,,,,verb.change,105,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
58,0,came,3,7,5017,5021,8,0.0,2.0,5014.0,5016.0,,,,,verb.motion,106,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
58,1,told,39,43,5053,5057,8,0.0,2.0,5014.0,5016.0,,,,,verb.communication,107,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
59,0,said,11,15,5089,5093,38,0.0,10.0,5078.0,5088.0,,,,,verb.communication,108,subject,,,,,,,
59,3,prevent,56,63,5134,5141,8,18.0,21.0,5096.0,5099.0,,,,,verb.social,110,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
59,4,accusing,73,81,5151,5159,48,64.0,67.0,5142.0,5145.0,,,,,verb.communication,109,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
60,0,did,8,11,5184,5187,8,5.0,7.0,5181.0,5183.0,,,,,verb.social,111,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
60,1,found,36,41,5212,5217,8,28.0,35.0,5204.0,5211.0,,,,,verb.perception,113,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
64,1,rendered,37,45,5480,5488,60,14.0,32.0,5457.0,5475.0,,,,,verb.change,112,subject,Notscha's Master,7.0,5.0,12.0,male,1.0,tertiary
64,1,rendered,37,45,5480,5488,8,14.0,32.0,5457.0,5475.0,,,,,verb.change,112,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
64,2,threw,57,62,5500,5505,60,0.0,55.0,5443.0,5498.0,88.0,103.0,5531.0,5546.0,verb.contact,114,subject,Notscha's Master,7.0,5.0,12.0,male,1.0,tertiary
64,2,threw,57,62,5500,5505,8,0.0,55.0,5443.0,5498.0,88.0,103.0,5531.0,5546.0,verb.contact,114,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
64,3,began,109,114,5552,5557,60,0.0,55.0,5443.0,5498.0,,,,,verb.change,115,subject,Notscha's Master,7.0,5.0,12.0,male,1.0,tertiary
64,3,began,109,114,5552,5557,8,0.0,55.0,5443.0,5498.0,,,,,verb.change,115,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
64,4,pitch,118,123,5561,5566,60,0.0,55.0,5443.0,5498.0,,,,,verb.contact,116,subject,Notscha's Master,7.0,5.0,12.0,male,1.0,tertiary
64,4,pitch,118,123,5561,5566,8,0.0,55.0,5443.0,5498.0,,,,,verb.contact,116,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
65,0,scolded,11,18,5588,5595,48,0.0,10.0,5577.0,5587.0,,,,,verb.communication,117,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
65,1,screamed,23,31,5600,5608,48,0.0,10.0,5577.0,5587.0,,,,,verb.communication,119,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
66,0,flounders,20,29,5630,5639,175,7.0,19.0,5617.0,5629.0,,,,,verb.motion,118,subject,the old worm,1.0,2.0,3.0,male,1.0,tertiary
66,3,care,66,70,5676,5680,175,7.0,29.0,5617.0,5639.0,,,,,verb.emotion,121,subject,the old worm,1.0,2.0,3.0,male,1.0,tertiary
66,5,beaten,86,92,5696,5702,175,80.0,82.0,5690.0,5692.0,,,,,verb.social,120,subject,the old worm,1.0,2.0,3.0,male,1.0,tertiary
69,1,stand,32,37,5937,5942,48,5.0,15.0,5910.0,5920.0,,,,,verb.emotion,123,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
69,2,begged,51,57,5956,5962,48,5.0,15.0,5910.0,5920.0,,,,,verb.communication,124,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
70,1,promise,20,27,5994,6001,8,10.0,12.0,5984.0,5986.0,,,,,verb.communication,125,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
70,3,complain,54,62,6028,6036,8,41.0,43.0,6015.0,6017.0,,,,,verb.communication,126,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
70,6,go,103,105,6077,6079,8,99.0,102.0,6073.0,6076.0,,,,,verb.motion,129,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
71,1,turn,27,31,6108,6112,48,9.0,19.0,6090.0,6100.0,,,,,verb.change,128,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
72,1,drawn,21,26,6232,6237,8,18.0,20.0,6229.0,6231.0,,,,,verb.contact,131,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
73,0,swore,16,21,6316,6321,48,0.0,10.0,6300.0,6310.0,,,,,verb.communication,132,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
73,2,punish,36,42,6336,6342,48,27.0,29.0,6327.0,6329.0,52.0,72.0,6352.0,6372.0,verb.social,134,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
73,3,disappeared,78,89,6378,6389,48,27.0,29.0,6327.0,6329.0,,,,,verb.change,133,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
75,0,sent,27,31,6490,6494,8,10.0,26.0,6473.0,6489.0,61.0,94.0,6524.0,6557.0,verb.motion,135,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
75,0,sent,27,31,6490,6494,76,10.0,26.0,6473.0,6489.0,61.0,94.0,6524.0,6557.0,verb.motion,135,subject,Notscha 's mother,2.0,0.0,2.0,female,1.0,tertiary
76,0,disappeared,8,19,6567,6578,8,0.0,7.0,6559.0,6566.0,,,,,verb.change,136,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
76,1,went,24,28,6583,6587,8,0.0,7.0,6559.0,6566.0,44.0,106.0,6603.0,6665.0,verb.motion,137,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
76,4,do,79,81,6638,6640,60,64.0,68.0,6623.0,6627.0,,,,,verb.social,139,subject,Notscha's Master,7.0,5.0,12.0,male,1.0,tertiary
76,5,returned,98,106,6657,6665,48,87.0,97.0,6646.0,6656.0,,,,,verb.motion,142,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
77,0,advised,11,18,6678,6685,60,0.0,10.0,6667.0,6677.0,,,,,verb.communication,141,subject,Notscha's Master,7.0,5.0,12.0,male,1.0,tertiary
77,0,advised,11,18,6678,6685,8,0.0,10.0,6667.0,6677.0,,,,,verb.communication,141,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
78,1,assembled,47,56,6765,6774,83,4.0,41.0,6722.0,6759.0,,,,,verb.social,140,subject,the Dragon Kings of the four seas,1.0,0.0,1.0,male,1.0,tertiary
78,3,bound,66,71,6784,6789,83,4.0,41.0,6722.0,6759.0,85.0,131.0,6803.0,6849.0,verb.contact,143,subject,the Dragon Kings of the four seas,1.0,0.0,1.0,male,1.0,tertiary
79,1,cried,19,24,6870,6875,8,0.0,7.0,6851.0,6858.0,,,,,verb.communication,145,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
79,3,take,52,56,6903,6907,8,45.0,46.0,6896.0,6897.0,87.0,96.0,6938.0,6947.0,verb.cognition,147,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
79,5,done,92,96,6943,6947,8,76.0,84.0,6927.0,6935.0,,,,,verb.social,146,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
84,1,destroy,24,31,7082,7089,48,17.0,18.0,7075.0,7076.0,,,,,verb.contact,150,subject,The dragon,12.0,10.0,22.0,male,1.0,tertiary
86,0,buried,24,30,7172,7178,8,7.0,23.0,7155.0,7171.0,,,,,verb.contact,149,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
86,0,buried,24,30,7172,7178,76,7.0,23.0,7155.0,7171.0,,,,,verb.contact,149,subject,Notscha 's mother,2.0,0.0,2.0,female,1.0,tertiary
87,0,fluttered,45,54,7245,7254,8,4.0,43.0,7204.0,7243.0,,,,,verb.motion,151,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
87,2,driven,81,87,7281,7287,8,4.0,43.0,7204.0,7243.0,,,,,verb.motion,152,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
88,0,took,3,7,7333,7337,8,0.0,2.0,7330.0,7332.0,,,,,verb.motion,153,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
88,1,said,18,22,7348,7352,8,0.0,2.0,7330.0,7332.0,,,,,verb.communication,155,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
88,3,appear,40,46,7370,7376,8,31.0,34.0,7361.0,7364.0,,,,,verb.perception,154,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
90,1,build,23,28,7481,7486,90,14.0,17.0,7472.0,7475.0,38.0,45.0,7496.0,7503.0,verb.creation,157,subject,Notscha's mother,1.0,4.0,5.0,female,1.0,tertiary
91,1,enjoyed,19,26,7524,7531,8,10.0,13.0,7515.0,7518.0,58.0,73.0,7563.0,7578.0,verb.emotion,156,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
91,3,have,95,99,7600,7604,8,75.0,78.0,7580.0,7583.0,,,,,verb.possession,159,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
92,0,appeared,8,16,7628,7636,8,0.0,7.0,7620.0,7627.0,,,,,verb.change,158,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
92,1,gave,47,51,7667,7671,8,0.0,7.0,7620.0,7627.0,,,,,verb.possession,160,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
92,2,awoke,83,88,7703,7708,90,79.0,82.0,7699.0,7702.0,,,,,verb.body,161,subject,Notscha's mother,1.0,4.0,5.0,female,1.0,tertiary
93,0,grew,13,17,7732,7736,5,4.0,12.0,7723.0,7731.0,24.0,50.0,7743.0,7769.0,verb.change,162,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
93,1,told,33,37,7752,7756,90,29.0,32.0,7748.0,7751.0,,,,,verb.communication,163,subject,Notscha's mother,1.0,4.0,5.0,female,1.0,tertiary
95,3,appears,53,60,7875,7882,8,50.0,52.0,7872.0,7874.0,68.0,77.0,7890.0,7899.0,verb.perception,165,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
96,1,pay,9,12,7910,7913,8,0.0,3.0,7901.0,7904.0,,,,,verb.cognition,166,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
97,0,said,10,14,7946,7950,91,0.0,9.0,7936.0,7945.0,,,,,verb.communication,167,subject,The woman,1.0,4.0,5.0,female,1.0,tertiary
