sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,event_label
15,2,brought,80,87,1455,1462,100,43.0,54.0,1418.0,1429.0,,91.0,98.0,1466.0,1473.0,1
16,0,was,11,14,1526,1529,101,0.0,10.0,1515.0,1525.0,,15.0,21.0,1530.0,1536.0,0
16,1,was,29,32,1544,1547,,23.0,28.0,1538.0,1543.0,102,33.0,111.0,1548.0,1626.0,0
16,2,brought,58,65,1573,1580,102,44.0,57.0,1559.0,1572.0,,66.0,75.0,1581.0,1590.0,1
16,4,harmed,105,111,1620,1626,102,44.0,57.0,1559.0,1572.0,,,,,,1
17,0,has,51,54,1679,1682,103,0.0,12.0,1628.0,1640.0,,,,,,1
17,2,made,68,72,1696,1700,103,0.0,64.0,1628.0,1692.0,,76.0,116.0,1704.0,1744.0,0
19,0,have,8,12,1821,1825,106,0.0,7.0,1813.0,1820.0,,13.0,51.0,1826.0,1864.0,0
20,0,are,9,12,1875,1878,106,4.0,8.0,1870.0,1874.0,,13.0,109.0,1879.0,1975.0,0
21,0,were,7,11,1984,1988,107,3.0,6.0,1980.0,1983.0,108,12.0,45.0,1989.0,2022.0,0
21,1,send,15,19,1992,1996,107,3.0,6.0,1980.0,1983.0,108,20.0,31.0,1997.0,2008.0,1
22,0,was,12,15,2085,2088,24,0.0,11.0,2073.0,2084.0,,16.0,31.0,2089.0,2104.0,0
22,1,announced,37,46,2110,2119,24,0.0,11.0,2073.0,2084.0,29,47.0,135.0,2120.0,2208.0,1
23,2,named,34,39,2244,2249,32,0.0,29.0,2210.0,2239.0,,,,,,0
24,0,said,17,21,2277,2281,27,4.0,16.0,2264.0,2276.0,"109,110",24.0,180.0,2284.0,2440.0,1
24,1,slew,76,80,2336,2340,109,24.0,70.0,2284.0,2330.0,110,81.0,134.0,2341.0,2394.0,1
24,2,was,140,143,2400,2403,109,24.0,70.0,2284.0,2330.0,109,152.0,180.0,2412.0,2440.0,0
25,0,are,12,15,2454,2457,111,0.0,11.0,2442.0,2453.0,112,16.0,42.0,2458.0,2484.0,0
25,2,go,58,60,2500,2502,24,47.0,50.0,2489.0,2492.0,,,,,,1
26,0,came,5,9,2510,2514,,,,,,"34,8",10.0,42.0,2515.0,2547.0,1
26,1,said,71,75,2576,2580,35,49.0,65.0,2554.0,2570.0,"104,36",76.0,130.0,2581.0,2635.0,1
26,3,been,99,103,2604,2608,36,81.0,94.0,2586.0,2599.0,104,104.0,130.0,2609.0,2635.0,0
26,4,related,104,111,2609,2616,36,81.0,94.0,2586.0,2599.0,104,112.0,130.0,2617.0,2635.0,0
27,1,liked,21,26,2658,2663,35,6.0,10.0,2643.0,2647.0,35,27.0,64.0,2664.0,2701.0,1
28,0,begged,5,11,2708,2714,35,0.0,4.0,2703.0,2707.0,,12.0,44.0,2715.0,2747.0,1
29,0,asked,13,18,2762,2767,27,0.0,12.0,2749.0,2761.0,35,20.0,110.0,2769.0,2859.0,1
29,1,have,25,29,2774,2778,,,,,,35,30.0,110.0,2779.0,2859.0,1
29,2,compels,75,82,2824,2831,,59.0,68.0,2808.0,2817.0,35,83.0,94.0,2832.0,2843.0,1
29,3,do,98,100,2847,2849,,83.0,94.0,2832.0,2843.0,35,101.0,110.0,2850.0,2859.0,1
30,0,said,7,11,2869,2873,,1.0,4.0,2863.0,2866.0,35,12.0,16.0,2874.0,2878.0,1
30,2,brought,27,34,2889,2896,35,19.0,21.0,2881.0,2883.0,35,35.0,37.0,2897.0,2899.0,1
31,0,had,13,16,2929,2932,27,0.0,12.0,2916.0,2928.0,"35,27",17.0,40.0,2933.0,2956.0,0
31,1,show,22,26,2938,2942,,,,,,27,27.0,30.0,2943.0,2946.0,1
32,0,spoke,9,14,2966,2971,27,6.0,8.0,2963.0,2965.0,114,17.0,96.0,2974.0,3053.0,1
32,2,obeyed,36,42,2993,2999,,17.0,27.0,2974.0,2984.0,114,43.0,96.0,3000.0,3053.0,1
33,0,will,3,7,3058,3062,,,,,,115,8.0,67.0,3063.0,3122.0,0
33,1,do,12,14,3067,3069,,0.0,2.0,3055.0,3057.0,115,15.0,67.0,3070.0,3122.0,1
34,0,questioned,8,18,3133,3143,27,5.0,7.0,3130.0,3132.0,35,19.0,23.0,3144.0,3148.0,1
34,1,Have,34,38,3159,3163,,,,,,35,39.0,42.0,3164.0,3167.0,0
35,0,admitted,10,18,3203,3211,35,5.0,9.0,3198.0,3202.0,35,19.0,36.0,3212.0,3229.0,1
35,2,said,51,55,3244,3248,27,38.0,50.0,3231.0,3243.0,"24,111",58.0,118.0,3251.0,3311.0,1
35,3,will,67,71,3260,3264,,,,,,"24,111",72.0,118.0,3265.0,3311.0,0
35,4,compel,76,82,3269,3275,24,72.0,75.0,3265.0,3268.0,111,83.0,94.0,3276.0,3287.0,1
35,5,yield,98,103,3291,3296,111,83.0,94.0,3276.0,3287.0,111,104.0,118.0,3297.0,3311.0,1
36,0,said,16,20,3330,3334,24,4.0,15.0,3318.0,3329.0,35,23.0,39.0,3337.0,3353.0,1
36,1,shall,28,33,3342,3347,,,,,,35,34.0,39.0,3348.0,3353.0,0
36,2,do,37,39,3351,3353,35,23.0,27.0,3337.0,3341.0,,,,,,1
37,0,replied,13,20,3369,3376,27,0.0,12.0,3356.0,3368.0,118,23.0,97.0,3379.0,3453.0,1
38,1,go,14,16,3469,3471,119,0.0,8.0,3455.0,3463.0,118,17.0,24.0,3472.0,3479.0,1
38,2,seek,29,33,3484,3488,119,0.0,8.0,3455.0,3463.0,118,34.0,36.0,3489.0,3491.0,1
39,0,know,7,11,3510,3514,27,0.0,1.0,3503.0,3504.0,121,12.0,120.0,3515.0,3623.0,1
40,2,sent,19,23,3644,3648,119,0.0,8.0,3625.0,3633.0,,24.0,32.0,3649.0,3657.0,1
41,0,sent,12,16,3680,3684,24,0.0,11.0,3668.0,3679.0,44,21.0,35.0,3689.0,3703.0,1
42,0,met,5,8,3710,3713,44,0.0,4.0,3705.0,3709.0,45,9.0,40.0,3714.0,3745.0,1
42,1,obtained,45,53,3750,3758,44,0.0,4.0,3705.0,3709.0,45,54.0,83.0,3759.0,3788.0,1
43,0,Said,0,4,3799,3803,,,,,,"44,27",5.0,17.0,3804.0,3816.0,1
43,1,is,25,27,3824,3826,,20.0,24.0,3819.0,3823.0,44,28.0,40.0,3827.0,3839.0,0
43,2,want,36,40,3835,3839,44,28.0,32.0,3827.0,3831.0,,,,,,1
45,0,felt,12,16,3947,3951,24,0.0,11.0,3935.0,3946.0,,17.0,29.0,3952.0,3964.0,1
45,1,had,34,37,3969,3972,24,0.0,11.0,3935.0,3946.0,49,38.0,92.0,3973.0,4027.0,1
45,2,carve,51,56,3986,3991,49,38.0,50.0,3973.0,3985.0,,57.0,92.0,3992.0,4027.0,1
47,0,had,7,10,4091,4094,24,4.0,6.0,4088.0,4090.0,,11.0,117.0,4095.0,4201.0,1
49,1,rubbed,56,62,4288,4294,50,5.0,50.0,4237.0,4282.0,,63.0,76.0,4295.0,4308.0,1
49,3,given,92,97,4324,4329,44,82.0,86.0,4314.0,4318.0,44,98.0,151.0,4330.0,4383.0,1
49,4,take,131,135,4363,4367,,98.0,127.0,4330.0,4359.0,44,142.0,151.0,4374.0,4383.0,1
50,0,went,5,9,4390,4394,44,0.0,4.0,4385.0,4389.0,,10.0,23.0,4395.0,4408.0,1
51,0,reached,10,17,4420,4427,44,5.0,9.0,4415.0,4419.0,,18.0,35.0,4428.0,4445.0,1
51,2,smelled,76,83,4486,4493,53,37.0,75.0,4447.0,4485.0,,84.0,96.0,4494.0,4506.0,1
51,3,crouched,104,112,4514,4522,53,101.0,103.0,4511.0,4513.0,,,,,,1
51,4,did,122,125,4532,4535,53,101.0,103.0,4511.0,4513.0,44,126.0,130.0,4536.0,4540.0,1
52,0,gave,5,9,4555,4559,44,0.0,4.0,4550.0,4554.0,53,10.0,13.0,4560.0,4563.0,1
52,1,announce,55,63,4605,4613,,,,,,"103,44",64.0,68.0,4614.0,4618.0,1
53,1,admitted,10,18,4665,4673,44,0.0,4.0,4655.0,4659.0,103,19.0,34.0,4674.0,4689.0,1
53,2,offered,39,46,4694,4701,44,0.0,4.0,4655.0,4659.0,103,47.0,50.0,4702.0,4705.0,1
54,0,received,22,30,4804,4812,57,0.0,21.0,4782.0,4803.0,,31.0,35.0,4813.0,4817.0,1
54,1,unfolded,57,65,4839,4847,44,52.0,56.0,4834.0,4838.0,24,66.0,86.0,4848.0,4868.0,1
56,1,turn,9,13,4947,4951,53,0.0,2.0,4938.0,4940.0,"60,53",14.0,21.0,4952.0,4959.0,1
56,2,could,46,51,4984,4989,53,0.0,2.0,4938.0,4940.0,61,52.0,90.0,4990.0,5028.0,0
56,3,interpret,52,61,4990,4999,53,0.0,2.0,4938.0,4940.0,61,62.0,90.0,5000.0,5028.0,1
57,0,learned,34,41,5064,5071,57,12.0,33.0,5042.0,5063.0,"24,103",42.0,84.0,5072.0,5114.0,1
57,2,sending,63,70,5093,5100,24,47.0,58.0,5077.0,5088.0,103,71.0,74.0,5101.0,5104.0,1
57,3,returned,94,102,5124,5132,103,90.0,93.0,5120.0,5123.0,44,103.0,107.0,5133.0,5137.0,1
58,0,took,15,19,5248,5252,50,0.0,14.0,5233.0,5247.0,,20.0,25.0,5253.0,5258.0,1
58,1,rode,27,31,5260,5264,50,0.0,14.0,5233.0,5247.0,,,,,,1
58,3,reached,99,106,5332,5339,50,90.0,94.0,5323.0,5327.0,,107.0,137.0,5340.0,5370.0,1
59,0,made,5,9,5377,5381,50,0.0,4.0,5372.0,5376.0,50,10.0,98.0,5382.0,5470.0,1
59,1,handed,64,70,5436,5442,,,,,,50,76.0,98.0,5448.0,5470.0,1
60,0,was,12,15,5484,5487,24,0.0,11.0,5472.0,5483.0,,16.0,28.0,5488.0,5500.0,0
60,1,showed,33,39,5505,5511,24,0.0,11.0,5472.0,5483.0,27,40.0,44.0,5512.0,5516.0,1
61,0,said,3,7,5537,5541,24,0.0,2.0,5534.0,5536.0,123,10.0,135.0,5544.0,5669.0,1
61,1,is,40,42,5574,5576,,10.0,39.0,5544.0,5573.0,123,43.0,84.0,5577.0,5618.0,0
64,1,approach,12,20,5847,5855,71,0.0,4.0,5835.0,5839.0,,21.0,46.0,5856.0,5881.0,1
65,0,showed,17,23,5951,5957,24,0.0,11.0,5934.0,5945.0,71,24.0,28.0,5958.0,5962.0,1
66,0,thought,15,22,5999,6006,50,0.0,4.0,5984.0,5988.0,27,23.0,43.0,6007.0,6027.0,1
66,1,talk,48,52,6032,6036,27,23.0,43.0,6007.0,6027.0,,,,,,1
66,3,believe,66,73,6050,6057,50,0.0,4.0,5984.0,5988.0,27,74.0,86.0,6058.0,6070.0,1
66,4,said,82,86,6066,6070,27,74.0,78.0,6058.0,6062.0,,,,,,1
67,0,said,18,22,6090,6094,27,5.0,17.0,6077.0,6089.0,125,25.0,181.0,6097.0,6253.0,1
68,0,carries,25,32,6280,6287,71,10.0,24.0,6265.0,6279.0,,,,,,0
75,0,asked,9,14,6751,6756,119,0.0,8.0,6742.0,6750.0,,15.0,71.0,6757.0,6813.0,1
75,4,answered,90,98,6832,6840,27,77.0,89.0,6819.0,6831.0,50,101.0,138.0,6843.0,6880.0,1
75,5,recognize,124,133,6866,6875,50,101.0,123.0,6843.0,6865.0,,134.0,138.0,6876.0,6880.0,1
76,1,put,65,68,6948,6951,24,5.0,16.0,6888.0,6899.0,,69.0,73.0,6952.0,6956.0,1
76,2,poured,127,133,7010,7016,24,5.0,16.0,6888.0,6899.0,,134.0,141.0,7017.0,7024.0,1
78,0,took,18,22,7153,7157,78,8.0,17.0,7143.0,7152.0,,26.0,43.0,7161.0,7178.0,1
78,1,began,60,65,7195,7200,78,8.0,17.0,7143.0,7152.0,,66.0,102.0,7201.0,7237.0,1
78,2,dance,69,74,7204,7209,78,8.0,17.0,7143.0,7152.0,,,,,,1
78,3,sing,79,83,7214,7218,78,8.0,17.0,7143.0,7152.0,,,,,,1
78,4,flutter,88,95,7223,7230,78,8.0,17.0,7143.0,7152.0,,,,,,1
79,1,wound,51,56,7290,7295,,4.0,15.0,7243.0,7254.0,78,57.0,64.0,7296.0,7303.0,1
80,0,saw,20,23,7348,7351,79,9.0,19.0,7337.0,7347.0,,24.0,28.0,7352.0,7356.0,1
80,1,acknowledged,34,46,7362,7374,79,29.0,33.0,7357.0,7361.0,27,47.0,80.0,7375.0,7408.0,1
81,0,regards,3,10,7413,7420,,,,,,27,11.0,106.0,7421.0,7516.0,0
81,3,said,102,106,7512,7516,27,85.0,97.0,7495.0,7507.0,,,,,,1
82,1,enjoyed,40,47,7558,7565,50,21.0,35.0,7539.0,7553.0,,48.0,113.0,7566.0,7631.0,1
83,1,brought,9,16,7642,7649,50,0.0,4.0,7633.0,7637.0,50,17.0,32.0,7650.0,7665.0,1
85,0,commanded,12,21,7759,7768,24,0.0,11.0,7747.0,7758.0,,22.0,71.0,7769.0,7818.0,1
86,0,bestowed,8,16,7828,7836,24,5.0,7.0,7825.0,7827.0,86,17.0,37.0,7837.0,7857.0,1
86,1,made,65,69,7885,7889,24,5.0,7.0,7825.0,7827.0,86,70.0,135.0,7890.0,7955.0,1
87,1,investigated,12,24,7969,7981,24,0.0,2.0,7957.0,7959.0,20,25.0,124.0,7982.0,8081.0,1
87,2,was,32,35,7989,7992,,29.0,31.0,7986.0,7988.0,20,36.0,124.0,7993.0,8081.0,0
87,3,chanced,64,71,8021,8028,20,61.0,63.0,8018.0,8020.0,,72.0,85.0,8029.0,8042.0,1
87,6,destroyed,100,109,8057,8066,20,41.0,54.0,7998.0,8011.0,,110.0,124.0,8067.0,8081.0,1
88,0,turned,7,13,8090,8096,,,,,,20,18.0,78.0,8101.0,8161.0,0
88,3,soaked,52,58,8135,8141,20,23.0,42.0,8106.0,8125.0,,,,,,1
